Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last update
Lucjan Michta,318270051,17.022,,209,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,4.5,-1,4,-1,-1,-1.0,4.5,-1.0,4.0,-1.0,-1.0,18.04.2023 pomocnik (90'),Polska,30.05.2023
Marian Jasiolek,323731103,16.096,,107,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,-1,3.5,4.5,-1,3.5,-1.0,-1.0,-1.0,4.5,-1.0,3.5,30.05.2023 boczny_obronca (22'),Polska,30.05.2023
Siemowit Chmielowiec,320179372,17.013,P,169,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,5,5,3.5,-1,5.5,-1.0,5.0,-1.0,3.5,-1.0,5.5,30.05.2023 stoper (90'),Polska,30.05.2023
Tomasz Mozga,325701455,15.107,,68,WC 37,37,World Cup - Round IV  Matchday 3,04/04/2025,90,13,-1,3.5,-1,-1,-1,4,-1.0,3.5,-1.0,-1.0,-1.0,4.0,09.05.2023 napastnik (90'),Polska,30.05.2023
Baltazar Kachniarz,321647765,17.060,H,141,WC 37,4,Continental Championship  Matchday 2,07/10/2024,89,4,-1,-1,5,6,6,6.5,-1.0,-1.0,-1.0,6.0,-1.0,6.5,04.04.2023 napastnik (90'),Polska,30.05.2023
Franciszek Byrski,320971992,17.038,,113,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,4.5,5,5.5,-1,3.5,-1.0,4.5,5.0,5.5,-1.0,3.5,26.05.2023 boczny_obronca (90'),Polska,30.05.2023
Jedrzej Fidler,314878665,18.012,,176,WC 36,33,World Cup - Round III  Matchday 2,05/08/2024,88,11,5,-1,1.5,2,2,-1,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.05.2023 bramkarz (90'),Polska,30.05.2023
Jonatan Mak,320059147,18.002,,169,WC 36,35,World Cup - Round IV  Matchday 1,16/08/2024,88,12,-1,4,4,4.5,4.5,6,-1.0,4.0,4.0,4.5,4.5,5.5,26.05.2023 pomocnik (90'),Polska,30.05.2023
Maciej Skorupka,315980912,18.060,U,231,WC 36,23,World Cup - Round I  Matchday 8,14/06/2024,88,3,-1,4.5,5.5,-1,-1,8,-1.0,4.5,5.5,-1.0,-1.0,8.0,26.05.2023 napastnik (90'),Polska,30.05.2023
Mariusz Winnicki,322059554,16.085,,56,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,-1,-1,-1,-1,7,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,26.05.2023 napastnik (90'),Polska,30.05.2023
Mieczyslaw Gwizdz,324897566,16.088,,70,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,-1,-1,-1,4,-1,4.5,-1.0,-1.0,-1.0,4.0,-1.0,4.5,15.04.2023 pomocnik (90'),Polska,30.05.2023
Patrycy Chludzinski,323305129,17.008,,91,WC 37,13,Continental Championship - Quarterfinals,29/11/2024,89,11,-1,4.5,4.5,-1,3.5,5,-1.0,4.5,4.5,-1.0,-1.0,-1.0,26.05.2023 stoper (90'),Polska,30.05.2023
P. Gruner,476508913,17.082,U,-2,WC 37,,Final,,,,-1,4.5,4.5,-1,5,4,-1.0,4.0,4.5,-1.0,5.0,4.0,-----,Polska,16.05.2023
Ryszard Walter,326177749,17.062,,85,WC 37,4,Continental Championship  Matchday 2,07/10/2024,89,4,-1,5,5,-1,4.5,4,-1.0,5.0,5.0,-1.0,-1.0,-1.0,26.05.2023 stoper (90'),Polska,30.05.2023
Slawomir Kaszta,317995661,17.050,Q,203,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,-1,4.5,4.5,-1,3.5,6.5,-1.0,4.5,4.5,-1.0,-1.0,6.0,26.05.2023 napastnik (90'),Polska,30.05.2023
Sobieslaw Bogun,322241901,17.004,H,78,WC 37,14,Continental Championship - Semifinals,02/12/2024,89,12,-1,5,5,5,-1,6.5,-1.0,5.0,5.0,5.0,-1.0,6.5,19.05.2023 napastnik (90'),Polska,30.05.2023
S. Gawrychowski,476734966,17.044,,-1,WC 37,8,Continental Championship  Matchday 6,25/10/2024,89,6,4,-1,1,-1,1,1,4.0,-1.0,-1.0,-1.0,-1.0,1.0,-----,Polska,30.05.2023
Wojciech Lik,318529964,17.027,,148,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,4.5,5,4.5,4,4.5,-1.0,4.5,5.0,4.5,4.0,4.5,26.05.2023 boczny_obronca (90'),Polska,30.05.2023
Zbigniew Tworus,319908634,16.086,,127,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,4.5,4.5,-1,5,-1,-1.0,4.0,4.5,-1.0,5.0,-1.0,26.05.2023 skrzydlowy (90'),Polska,30.05.2023
