Country,day,hour,attempt
"Kenya,niedziela,11:16,1"
"Kenya,niedziela,10:31,1"
"Kenya,niedziela,09:10,1"
"Kenya,niedziela,08:29,1"
"Kenya,poniedzialek,20:58,1"
"Kenya,niedziela,02:53,1"
"Kenya,niedziela,06:12,1"
"Kenya,niedziela,02:48,1"
"Kenya,niedziela,08:17,1"
"Kenya,niedziela,07:49,1"
"Kenya,niedziela,08:31,1"
"Kenya,niedziela,09:17,2"
"Kenya,niedziela,10:30,1"
"Kenya,niedziela,06:26,1"
"Kenya,niedziela,02:08,1"
"Kenya,niedziela,11:53,1"
"Kenya,poniedzialek,09:21,1"
"Kenya,niedziela,18:23,1"
"Kenya,niedziela,12:20,1"
"Kenya,sroda,12:32,2"
"Kenya,piatek,21:34,1"
"Kenya,niedziela,09:34,1"
"Kenya,niedziela,19:33,1"
"Kenya,sobota,23:13,1"
"Kenya,niedziela,11:46,1"
"Kenya,niedziela,11:02,1"
"Kenya,niedziela,13:35,1"
"Kenya,niedziela,17:09,1"
"Kenya,wtorek,08:22,1"
"Kenya,poniedzialek,22:09,1"
"Kenya,niedziela,03:35,1"
"Kenya,niedziela,07:20,1"
"Kenya,niedziela,08:52,1"
"Kenya,niedziela,02:58,1"
"Kenya,niedziela,06:44,1"
"Kenya,sobota,06:58,1"
"Kenya,niedziela,01:47,2"
"Kenya,niedziela,03:15,1"
"Kenya,poniedzialek,01:23,1"
"Kenya,wtorek,08:03,1"
"Kenya,poniedzialek,08:27,1"
"Kenya,niedziela,09:55,1"
"Kenya,niedziela,04:01,1"
"Kenya,sobota,16:49,1"
"Kenya,niedziela,09:38,2"
"Kenya,niedziela,08:29,1"
"Kenya,niedziela,08:31,1"
"Kenya,sroda,14:45,1"
"Kenya,niedziela,09:50,1"
"Kenya,niedziela,08:37,1"
"Kenya,niedziela,21:28,1"
"Kenya,poniedzialek,12:59,1"
"Kenya,poniedzialek,11:19,1"
"Kenya,niedziela,08:43,1"
"Kenya,niedziela,16:50,1"
"Kenya,niedziela,08:59,1"
"Kenya,poniedzialek,09:16,1"
"Kenya,poniedzialek,09:49,1"
"Kenya,czwartek,15:14,2"
"Kenya,niedziela,07:48,1"
"Kenya,sroda,13:31,1"
"Kenya,niedziela,08:54,1"
"Kenya,niedziela,08:18,1"
"Kenya,niedziela,10:44,1"
"Kenya,niedziela,07:28,1"
"Kenya,niedziela,07:57,1"
"Kenya,niedziela,08:14,1"
"Kenya,niedziela,09:32,1"
"Kenya,niedziela,09:19,1"
"Kenya,niedziela,08:50,1"
"Kenya,niedziela,08:59,1"
"Kenya,poniedzialek,23:43,1"
"Kenya,niedziela,10:57,1"
"Kenya,niedziela,10:04,1"
"Kenya,poniedzialek,23:45,1"
"Kenya,niedziela,09:43,2"
"Kenya,piatek,15:59,1"
"Kenya,niedziela,11:10,2"
