
"Stanislaw Sciabisz,321197202,16.104,P,88,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,-1,3.5,4.5,-1,-1,-1.0,-1.0,3.5,-1.0,-1.0,-1.0,03.05.2023 boczny_obronca (90'),Polska,05.05.2023"
"Wilhelm Chmiel,318931984,17.057,U,184,WC 37,,Final,,,,-1,2.5,2.5,1.5,2,2,-1.0,2.5,-1.0,-1.0,2.0,-1.0,19.04.2023 stoper (90'),Polska,05.05.2023"
"Wlodzimierz Holowacz,323684425,16.002,,26,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,-1,-1,-1,-1,-1,6.5,-1.0,-1.0,-1.0,-1.0,-1.0,6.5,03.05.2023 napastnik (90'),Polska,05.05.2023"
"Andrzej Pucinski,322150230,16.024,T,63,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,-1,2,2,-1,-1,-1,-1.0,2.0,2.0,-1.0,-1.0,-1.0,26.03.2023 boczny_obronca (90'),Polska,05.05.2023"
"Artur Ustupski,320053042,16.108,,151,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,2,3,-1,5,-1,-1.0,2.0,3.0,-1.0,5.0,-1.0,09.04.2023 boczny_obronca (90'),Polska,05.05.2023"
"Bogdan Zabik,326845094,16.029,,43,WC 37,24,World Cup - Round I  Matchday 9,31/01/2025,90,4,3.5,-1,-1,-1,-1,-1,3.5,-1.0,-1.0,-1.0,-1.0,-1.0,30.04.2023 bramkarz (90'),Polska,05.05.2023"
"Boleslaw Sloniec,316837134,18.004,,189,WC 36,30,World Cup - Round II  Matchday 5,19/07/2024,88,8,-1,-1,4,-1,3.5,-1,-1.0,-1.0,3.0,-1.0,3.5,-1.0,01.01.2023 boczny_obronca (90'),Polska,05.05.2023"
"Daniel Kulak,313404608,18.069,T,222,WC 36,19,World Cup - Round I  Matchday 4,17/05/2024,87,15,-1,4,-1,-1,4.5,-1,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,01.01.2023 skrzydlowy (12'),Polska,05.05.2023"
"Drogomir Mulawka,308962305,18.084,,211,WC 36,15,Continental Championship - Finals,26/04/2024,87,12,-1,3.5,-1,3,-1,7,-1.0,3.5,-1.0,-1.0,-1.0,-1.0,30.04.2023 stoper (90'),Polska,05.05.2023"
"Dymitr Franczyk,327551650,15.067,,32,WC 37,40,World Cup - Round V  Matchday 3,18/04/2025,90,15,-1,-1,4,-1,5,-1,-1.0,-1.0,4.0,-1.0,5.0,-1.0,30.04.2023 skrzydlowy (90'),Polska,05.05.2023"
