"Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country"
"Apoloniusz Fryda,320514348,17.018,,73,WC 37,2,Friendly,27/09/2024,89,2,-1,-1,-1,-1,-1,-1,,--------,Polska"
"Mieczyslaw Wasylow,320514349,18.002,,121,WC 36,24,World Cup - Round I  Matchday 9,21/06/2024,88,4,-1,2.5,-1,-1,-1,1,,04.04.2023 stoper (90'),Polska"
"Jozef Pacia,320514350,16.091,,101,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,-1,-1,-1,-1,-1,,--------,Polska"
"Kamil Zubrowski,320515371,17.075,,128,WC 36,31,World Cup - Round II  Matchday 6,26/07/2024,88,9,-1,-1,-1,-1,-1,-1,,--------,Polska"
"Adrian Swica,320515372,16.025,,128,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,-1,-1,-1,-1,-1,,--------,Polska"
"Lubomir Jakuc,320515373,16.035,,128,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,-1,-1,-1,-1,-1,-1,,--------,Polska"
"Damian Palac,320515374,17.076,,128,WC 36,31,World Cup - Round II  Matchday 6,26/07/2024,88,9,-1,-1,-1,-1,-1,-1,,--------,Polska"
"Dmytro Tsyhankov,320515375,17.083,,128,WC 36,30,World Cup - Round II  Matchday 5,19/07/2024,88,8,-1,-1,-1,-1,-1,-1,,--------,Polska"
"Maciej Lekka,320515376,17.051,,128,WC 36,37,World Cup - Round IV  Matchday 3,23/08/2024,88,13,-1,-1,-1,-1,-1,-1,,--------,Polska"
"Michal Pierzak,320515377,17.009,,128,WC 37,3,Continental Championship  Matchday 1,04/10/2024,89,3,-1,-1,-1,-1,-1,-1,,--------,Polska"
"Sylwester Urbanczyk,320515378,16.091,,128,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,-1,-1,-1,-1,-1,,--------,Polska"
"Jerzy Glatwiak,320515379,17.022,,128,WC 37,1,Friendly,20/09/2024,89,1,-1,-1,-1,-1,-1,-1,,--------,Polska"
"Daniel Koziel,320515380,17.073,,128,WC 36,32,World Cup - Round III  Matchday 1,02/08/2024,88,10,-1,-1,-1,-1,-1,-1,,--------,Polska"
"Dawid Romian,320515381,16.095,,128,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,-1,-1,-1,-1,-1,,--------,Polska"
"Maciej Mocha,320515382,16.060,,128,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,-1,-1,-1,-1,-1,,--------,Polska"
"Lukasz Czasak,320515383,17.027,,128,WC 37,,Final,,,,-1,-1,-1,-1,-1,-1,,--------,Polska"
"Jan Skrzypinski,320515384,17.074,,128,WC 36,32,World Cup - Round III  Matchday 1,02/08/2024,88,10,-1,-1,-1,-1,-1,-1,,--------,Polska"
"Fabian Piontek,320515385,17.057,,128,WC 36,36,World Cup - Round IV  Matchday 2,19/08/2024,88,13,-1,-1,-1,-1,-1,-1,,--------,Polska"
"Henryk Wawrzynek,320516263,16.094,,52,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,2,-1,-1,5,-1,,27.03.2023 skrzydlowy (90'),Polska"
"Kordian Mezyk,320516268,16.032,,53,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,1.5,2.5,3.5,4,5,,24.03.2023 napastnik (90'),Polska"
"Gustaw Wyroba,320516280,16.066,Q,94,WC 37,13,Continental Championship - Quarterfinals,29/11/2024,89,11,-1,-1,3.5,-1,-1,-1,,24.01.2023 boczny_obronca (90'),Polska"
"Wojciech Szpalerski,320516287,16.066,,73,WC 37,13,Continental Championship - Quarterfinals,29/11/2024,89,11,-1,4.5,5,3.5,4,5,,31.03.2023 stoper (90'),Polska"
"Maciej Barszczyk,320516302,16.105,U,52,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,-1,-1,-1,3,-1,-1,,23.02.2023 pomocnik (90'),Polska"
"Leonard Sajak,320516307,16.024,,122,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,-1,4,3.5,5,4,,30.03.2023 skrzydlowy (90'),Polska"
"Lucjan Szor,320516310,16.048,,94,WC 37,17,World Cup - Round I  Matchday 2,16/12/2024,89,14,-1,3,-1,3.5,3.5,4,,26.03.2023 stoper (90'),Polska"
"Robert Sedzinski,320516312,17.012,,52,WC 37,2,Friendly,27/09/2024,89,2,-1,-1,-1,3.5,-1,5.5,,30.03.2023 pomocnik (90'),Polska"
"Mikolaj Stelmach,320516319,16.111,,32,WC 37,6,Continental Championship  Matchday 4,14/10/2024,89,5,-1,-1,3.5,-1,-1,-1,,04.04.2023 boczny_obronca (90'),Polska"
"Gniewosz Sypien,320516326,16.054,P,64,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,-1,-1,-1,4,6.5,,18.03.2023 napastnik (90'),Polska"
"Miroslaw Kusiak,320516334,16.030,,52,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,0.5,-1,-1,3,-1,6,,28.03.2023 napastnik (90'),Polska"
"Tomasz Fedec,320516346,17.001,H,22,WC 37,6,Continental Championship  Matchday 4,14/10/2024,89,5,-1,4.5,5.5,3.5,-1,-1,,02.04.2023 boczny_obronca (90'),Polska"
"Konrad Globisz,320516347,16.047,H,122,WC 37,17,World Cup - Round I  Matchday 2,16/12/2024,89,14,6,2.5,-1,-1,-1,-1,,31.03.2023 stoper (90'),Polska"
"Tomasz Galwas,320516348,16.038,P,73,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,-1,2.5,3,2.5,-1,4.5,,04.04.2023 boczny_obronca (31'),Polska"
"Z. Ewen,475595270,17.030,P,-1,WC 37,,Final,,,,,,-----,Polska"
"Mariusz Bzdziel,320517004,16.060,,128,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,1,3.5,4,2,3,3.5,,09.03.2023 stoper (90'),Polska"
"Stanislaw Kamieniak,320517005,16.040,,128,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,-1,-1,-1,-1,4.5,,12.01.2023 napastnik (90'),Polska"
"D. Klimas,475513781,17.047,T,-1,WC 36,37,World Cup - Round IV  Matchday 3,23/08/2024,88,13,,,-----,Polska"
"Bartlomiej Dragula,320517008,17.010,,128,WC 37,3,Continental Championship  Matchday 1,04/10/2024,89,3,-1,3,3.5,-1,3.5,-1,,30.03.2023 boczny_obronca (90'),Polska"
"Witold Cybulak,320517009,16.027,,128,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,2,2,2.5,2.5,4,,23.03.2023 boczny_obronca (90'),Polska"
"Arkadiusz Wlodkowski,320517013,16.088,U,128,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,1.5,4.5,4,4,3,4,,04.04.2023 stoper (90'),Polska"
"Jakub Dykier,320517951,16.026,,109,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,-1,5,4.5,-1,-1,,04.04.2023 pomocnik (90'),Polska"
"Ernest Migut,320517953,16.077,P,122,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,4.5,4,4.5,-1,-1,,12.03.2023 boczny_obronca (90'),Polska"
