Michal Klys,313650074,18.036,,176,WC 36,21,World Cup - Round I  Matchday 6,31/05/2024,88,1,-1,2.5,2.5,-1,-1,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,4.5,12.04.2023 napastnik (90'),Polska,17.04.2023
Nils Prewein,314342341,17.025,Q,85,WC 37,2,Friendly,27/09/2024,89,2,-1,-1,-1,3,-1,-1,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,12.04.2023 pomocnik (90'),Polska,17.04.2023
Remigiusz Ciszczon,324723606,15.111,,22,WC 37,27,World Cup - Round II  Matchday 2,17/02/2025,90,7,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,17.04.2023
Robert Kasprzycki,311896166,18.088,P,220,WC 36,11,Continental Championship  Matchday 9,05/04/2024,87,9,-1,-1,-1,5,-1,-1,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,25.12.2022 pomocnik (90'),Polska,17.04.2023
Rudolf Steplowski,318820108,17.027,,123,WC 37,2,Friendly,27/09/2024,89,2,-1,-1,-1,3.5,-1,-1,-1.0,-1.0,-1.0,3.5,-1.0,-1.0,12.04.2023 pomocnik (90'),Polska,17.04.2023
Jozef Jesionek,322557668,16.076,P,74,WC 37,14,Continental Championship - Semifinals,02/12/2024,89,12,-1,3.5,-1,5,5,7,-1.0,-1.0,-1.0,5.0,-1.0,7.0,12.04.2023 napastnik (90'),Polska,17.04.2023
Ferdynand Dymkowski,319627376,16.062,,70,WC 37,17,World Cup - Round I  Matchday 2,16/12/2024,89,14,-1,2.5,3.5,3.5,5,5,-1.0,-1.0,3.5,3.5,5.0,5.0,12.04.2023 napastnik (90'),Polska,17.04.2023
Zdzislaw Kajdas,323683764,16.064,H,43,WC 37,16,World Cup - Round I  Matchday 1,13/12/2024,89,13,-1,4.5,-1,5.5,5,5,-1.0,4.5,-1.0,5.0,5.0,5.0,12.04.2023 stoper (90'),Polska,17.04.2023
Leon Rawa,327019527,15.102,,14,WC 37,29,World Cup - Round II  Matchday 4,24/02/2025,90,8,-1,-1,-1,-1,-1,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,4.5,12.04.2023 napastnik (90'),Polska,17.04.2023
Janek Doroba,325863146,15.105,,35,WC 37,28,World Cup - Round II  Matchday 3,21/02/2025,90,7,-1,3.5,-1,4,-1,6,-1.0,3.5,-1.0,-1.0,-1.0,6.0,12.04.2023 stoper (90'),Polska,17.04.2023
Piotr Matukiewicz,323462458,15.088,Q,63,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,3.5,4,3.5,4,4.5,-1.0,3.5,3.5,-1.0,3.5,-1.0,12.04.2023 boczny_obronca (90'),Polska,17.04.2023
Krzysztof Podlesny,324098152,16.091,,49,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,1.5,2.5,3,4,4.5,-1.0,1.5,2.5,3.0,-1.0,4.5,12.04.2023 boczny_obronca (90'),Polska,17.04.2023
Ferdynand Siatkowski,314400015,17.092,,183,WC 36,31,World Cup - Round II  Matchday 6,26/07/2024,88,9,5,3,3,1.5,1.5,-1,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.04.2023 bramkarz (90'),Polska,17.04.2023
Roman Samsonowicz,321344739,17.028,,99,WC 37,2,Friendly,27/09/2024,89,2,-1,2,-1,1,-1,-1,-1.0,2.0,-1.0,1.0,-1.0,-1.0,12.04.2023 stoper (90'),Polska,17.04.2023
Szymon Ciechowski,309070550,18.085,T,287,WC 36,12,Continental Championship  Matchday 10,12/04/2024,87,10,-1,3.5,4,6.5,5,6,-1.0,3.5,4.0,4.5,-1.0,-1.0,12.04.2023 pomocnik (90'),Polska,17.04.2023
Piotr Gawarecki,319504458,16.095,Q,147,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,3.5,4,4.5,5,4,-1.0,3.0,-1.0,4.5,-1.0,-1.0,12.04.2023 pomocnik (90'),Polska,17.04.2023
