"Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last update"
"Patryk Frydrychowicz,313649408,18.089,Q,271,WC 36,20,World Cup - Round I  Matchday 5,24/05/2024,87,16,-1,-1,-1,-1,-1,7.5,-1.0,-1.0,-1.0,-1.0,-1.0,5.5,30.03.2023 napastnik (90'),Polska,01.06.2023"
"Roman Meler,295400772,21.011,,611,WC 36,,Final,,,,-1,-1,-1,-1,-1,3.5,-1.0,-1.0,-1.0,-1.0,-1.0,2.5,25.08.2022 napastnik (90'),Polska,01.06.2023"
"Stanislaw Bolinski,310292732,19.057,T,300,WC 36,6,Continental Championship  Matchday 4,04/03/2024,87,5,-1,-1,-1,5.5,4.5,-1,-1.0,-1.0,-1.0,4.5,-1.0,-1.0,30.03.2023 pomocnik (90'),Polska,01.06.2023"
"Waldemar Sobotka,310246132,18.108,H,314,WC 36,16,World Cup - Round I  Matchday 1,03/05/2024,87,13,-1,4.5,-1,4.5,6,-1,-1.0,3.5,-1.0,-1.0,-1.0,-1.0,30.03.2023 stoper (90'),Polska,01.06.2023"
"Witold Pudlo,310240356,19.050,,331,WC 36,7,Continental Championship  Matchday 5,08/03/2024,87,5,4.5,-1,-1,-1,-1,-1,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,30.03.2023 bramkarz (90'),Polska,01.06.2023"
"Zenon Jablonowski,295400773,20.084,,611,WC 36,,Final,,,,1,4,3.5,3,4,3,-1.0,-1.0,-1.0,-1.0,3.5,-1.0,10.11.2022 skrzydlowy (90'),Polska,01.06.2023"
"Adrian Stokwisz,319725938,18.053,,194,WC 36,25,World Cup - Round I  Matchday 10,28/06/2024,88,5,1.5,-1,-1,5.5,-1,-1,1.5,-1.0,-1.0,5.5,-1.0,-1.0,25.05.2023 pomocnik (90'),Polska,01.06.2023"
"Albert Adasiak,320821104,17.046,,71,WC 37,8,Continental Championship  Matchday 6,25/10/2024,89,6,-1,-1,-1,-1,-1,6,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,25.05.2023 napastnik (90'),Polska,01.06.2023"
"Albert Skucha,323272094,16.034,T,122,WC 37,29,World Cup - Round II  Matchday 4,24/02/2025,90,8,-1,-1,-1,-1,6,-1,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,25.05.2023 skrzydlowy (90'),Polska,01.06.2023"
"Dominik Drab,309656552,19.017,Q,325,WC 36,12,Continental Championship  Matchday 10,12/04/2024,87,10,-1,4,-1,4,-1,-1,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,08.05.2023 stoper (90'),Polska,01.06.2023"
"Edward Chrupek,313553048,18.028,,258,WC 36,30,World Cup - Round II  Matchday 5,19/07/2024,88,8,2,3.5,-1,-1,4,-1,-1.0,3.5,-1.0,-1.0,-1.0,-1.0,25.05.2023 stoper (90'),Polska,01.06.2023"
"Fryderyk Michowski,304691205,19.026,,408,WC 36,11,Continental Championship  Matchday 9,05/04/2024,87,9,1,-1,-1,-1,3.5,6.5,-1.0,-1.0,-1.0,-1.0,-1.0,6.5,01.05.2023 napastnik (90'),Polska,01.06.2023"
"Hubert Ciborek,326591799,17.019,,60,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,0.5,-1,-1,-1,-1,6,0.5,-1.0,-1.0,-1.0,-1.0,6.0,25.05.2023 napastnik (90'),Polska,01.06.2023"
"Igor Stezala,309829342,18.032,,332,WC 36,30,World Cup - Round II  Matchday 5,19/07/2024,88,8,1.5,3.5,-1,-1,-1,-1,-1.0,3.5,-1.0,-1.0,-1.0,-1.0,25.05.2023 stoper (90'),Polska,01.06.2023"
"Jan Pietryga,317588872,17.023,P,213,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,-1,4,-1,-1,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,25.05.2023 pomocnik (90'),Polska,01.06.2023"
"Jedrzej Bochnak,307299159,18.110,,285,WC 36,16,World Cup - Round I  Matchday 1,03/05/2024,87,13,2,-1,-1,-1,-1,-1,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.05.2023 bramkarz (90'),Polska,01.06.2023"
"J. Arndt,476480311,17.094,,-2,WC 36,40,World Cup - Round V  Matchday 3,06/09/2024,88,15,-1,-1,-1,4.5,-1,-1,-1.0,-1.0,-1.0,4.5,-1.0,-1.0,-----,Polska,17.05.2023"
